Category,Description_2,Oncology Abbreviations,Final Abbreviations,Difference
Skin Cancer,Malignant melanoma of skin,C43 | C43.39 | Melanoma | Cutaneous Melanoma | Cutaneous Oncogenesis | Skin Cancer,Skin Cancer | Melanoma | Nonmelanoma Skin Cancer | Basal Cell Carcinoma | Squamous Cell Carcinoma | Keratinocyte Carcinoma | Cutaneous Melanoma | BCC | SCC | Malignant Melanoma | Skin Melanoma | MM | Acral Melanoma | Malignant Neoplasm of Skin | Cutaneous Malignancy | Malignant Melanoma of Skin | Skin Malignancy | Superficial Melanoma | Primary Melanoma of Skin | Dermal Melanoma,C43 | C43.39 | Cutaneous Oncogenesis
Skin Cancer,Malignant melanoma of skin,C43 | C43.4 | Melanoma | Cutaneous Melanoma | Cutaneous Oncogenesis | Skin Cancer | Scalp Melanoma | Neck Melanoma,Skin Cancer | Melanoma | Nonmelanoma Skin Cancer | Basal Cell Carcinoma | Squamous Cell Carcinoma | Keratinocyte Carcinoma | Cutaneous Melanoma | BCC | SCC | Malignant Melanoma | Skin Melanoma | MM | Acral Melanoma | Malignant Neoplasm of Skin | Cutaneous Malignancy | Malignant Melanoma of Skin | Skin Malignancy | Superficial Melanoma | Primary Melanoma of Skin | Dermal Melanoma,C43 | C43.4 | Cutaneous Oncogenesis | Scalp Melanoma | Neck Melanoma
Skin Cancer,Malignant melanoma of skin,C43 | C43.5 | Melanoma | Cutaneous Melanoma | Cutaneous Oncogenesis | Skin Cancer,Skin Cancer | Melanoma | Nonmelanoma Skin Cancer | Basal Cell Carcinoma | Squamous Cell Carcinoma | Keratinocyte Carcinoma | Cutaneous Melanoma | BCC | SCC | Malignant Melanoma | Skin Melanoma | MM | Acral Melanoma | Malignant Neoplasm of Skin | Cutaneous Malignancy | Malignant Melanoma of Skin | Skin Malignancy | Superficial Melanoma | Primary Melanoma of Skin | Dermal Melanoma,C43 | C43.5 | Cutaneous Oncogenesis
Skin Cancer,Malignant melanoma of skin,C43 | C43.51 | Melanoma | Cutaneous Melanoma | Cutaneous Oncogenesis | Skin Cancer,Skin Cancer | Melanoma | Nonmelanoma Skin Cancer | Basal Cell Carcinoma | Squamous Cell Carcinoma | Keratinocyte Carcinoma | Cutaneous Melanoma | BCC | SCC | Malignant Melanoma | Skin Melanoma | MM | Acral Melanoma | Malignant Neoplasm of Skin | Cutaneous Malignancy | Malignant Melanoma of Skin | Skin Malignancy | Superficial Melanoma | Primary Melanoma of Skin | Dermal Melanoma,C43 | C43.51 | Cutaneous Oncogenesis
Skin Cancer,Malignant melanoma of skin,C43 | C43.52 | Melanoma | Cutaneous Melanoma | Cutaneous Oncogenesis | Skin Cancer,Skin Cancer | Melanoma | Nonmelanoma Skin Cancer | Basal Cell Carcinoma | Squamous Cell Carcinoma | Keratinocyte Carcinoma | Cutaneous Melanoma | BCC | SCC | Malignant Melanoma | Skin Melanoma | MM | Acral Melanoma | Malignant Neoplasm of Skin | Cutaneous Malignancy | Malignant Melanoma of Skin | Skin Malignancy | Superficial Melanoma | Primary Melanoma of Skin | Dermal Melanoma,C43 | C43.52 | Cutaneous Oncogenesis
Skin Cancer,Malignant melanoma of skin,C43 | C43.59 | Melanoma | Cutaneous Melanoma | Cutaneous Oncogenesis | Skin Cancer,Skin Cancer | Melanoma | Nonmelanoma Skin Cancer | Basal Cell Carcinoma | Squamous Cell Carcinoma | Keratinocyte Carcinoma | Cutaneous Melanoma | BCC | SCC | Malignant Melanoma | Skin Melanoma | MM | Acral Melanoma | Malignant Neoplasm of Skin | Cutaneous Malignancy | Malignant Melanoma of Skin | Skin Malignancy | Superficial Melanoma | Primary Melanoma of Skin | Dermal Melanoma,C43 | C43.59 | Cutaneous Oncogenesis
Skin Cancer,Malignant melanoma of skin,C43 | C43.6 | Melanoma | Cutaneous Melanoma | Cutaneous Oncogenesis | Skin Cancer | Upper Limb Melanoma,Skin Cancer | Melanoma | Nonmelanoma Skin Cancer | Basal Cell Carcinoma | Squamous Cell Carcinoma | Keratinocyte Carcinoma | Cutaneous Melanoma | BCC | SCC | Malignant Melanoma | Skin Melanoma | MM | Acral Melanoma | Malignant Neoplasm of Skin | Cutaneous Malignancy | Malignant Melanoma of Skin | Skin Malignancy | Superficial Melanoma | Primary Melanoma of Skin | Dermal Melanoma,C43 | C43.6 | Cutaneous Oncogenesis | Upper Limb Melanoma
Skin Cancer,Malignant melanoma of skin,C43 | C43.60 | Melanoma | Cutaneous Melanoma | Cutaneous Oncogenesis | Skin Cancer,Skin Cancer | Melanoma | Nonmelanoma Skin Cancer | Basal Cell Carcinoma | Squamous Cell Carcinoma | Keratinocyte Carcinoma | Cutaneous Melanoma | BCC | SCC | Malignant Melanoma | Skin Melanoma | MM | Acral Melanoma | Malignant Neoplasm of Skin | Cutaneous Malignancy | Malignant Melanoma of Skin | Skin Malignancy | Superficial Melanoma | Primary Melanoma of Skin | Dermal Melanoma,C43 | C43.60 | Cutaneous Oncogenesis
Skin Cancer,Malignant melanoma of skin,C43 | C43.61 | Melanoma | Cutaneous Melanoma | Cutaneous Oncogenesis | Skin Cancer,Skin Cancer | Melanoma | Nonmelanoma Skin Cancer | Basal Cell Carcinoma | Squamous Cell Carcinoma | Keratinocyte Carcinoma | Cutaneous Melanoma | BCC | SCC | Malignant Melanoma | Skin Melanoma | MM | Acral Melanoma | Malignant Neoplasm of Skin | Cutaneous Malignancy | Malignant Melanoma of Skin | Skin Malignancy | Superficial Melanoma | Primary Melanoma of Skin | Dermal Melanoma,C43 | C43.61 | Cutaneous Oncogenesis
Skin Cancer,Malignant melanoma of skin,C43 | C43.62 | Melanoma | Cutaneous Melanoma | Cutaneous Oncogenesis | Skin Cancer,Skin Cancer | Melanoma | Nonmelanoma Skin Cancer | Basal Cell Carcinoma | Squamous Cell Carcinoma | Keratinocyte Carcinoma | Cutaneous Melanoma | BCC | SCC | Malignant Melanoma | Skin Melanoma | MM | Acral Melanoma | Malignant Neoplasm of Skin | Cutaneous Malignancy | Malignant Melanoma of Skin | Skin Malignancy | Superficial Melanoma | Primary Melanoma of Skin | Dermal Melanoma,C43 | C43.62 | Cutaneous Oncogenesis
Skin Cancer,Malignant melanoma of skin,C43 | C43.7 | Melanoma | Cutaneous Melanoma | Cutaneous Oncogenesis | Skin Cancer | Lower Limb Melanoma,Skin Cancer | Melanoma | Nonmelanoma Skin Cancer | Basal Cell Carcinoma | Squamous Cell Carcinoma | Keratinocyte Carcinoma | Cutaneous Melanoma | BCC | SCC | Malignant Melanoma | Skin Melanoma | MM | Acral Melanoma | Malignant Neoplasm of Skin | Cutaneous Malignancy | Malignant Melanoma of Skin | Skin Malignancy | Superficial Melanoma | Primary Melanoma of Skin | Dermal Melanoma,C43 | C43.7 | Cutaneous Oncogenesis | Lower Limb Melanoma
Skin Cancer,Malignant melanoma of skin,C43 | C43.70 | Melanoma | Cutaneous Melanoma | Cutaneous Oncogenesis | Skin Cancer,Skin Cancer | Melanoma | Nonmelanoma Skin Cancer | Basal Cell Carcinoma | Squamous Cell Carcinoma | Keratinocyte Carcinoma | Cutaneous Melanoma | BCC | SCC | Malignant Melanoma | Skin Melanoma | MM | Acral Melanoma | Malignant Neoplasm of Skin | Cutaneous Malignancy | Malignant Melanoma of Skin | Skin Malignancy | Superficial Melanoma | Primary Melanoma of Skin | Dermal Melanoma,C43 | C43.70 | Cutaneous Oncogenesis
Skin Cancer,Malignant melanoma of skin,C43 | C43.71 | Melanoma | Cutaneous Melanoma | Cutaneous Oncogenesis | Skin Cancer,Skin Cancer | Melanoma | Nonmelanoma Skin Cancer | Basal Cell Carcinoma | Squamous Cell Carcinoma | Keratinocyte Carcinoma | Cutaneous Melanoma | BCC | SCC | Malignant Melanoma | Skin Melanoma | MM | Acral Melanoma | Malignant Neoplasm of Skin | Cutaneous Malignancy | Malignant Melanoma of Skin | Skin Malignancy | Superficial Melanoma | Primary Melanoma of Skin | Dermal Melanoma,C43 | C43.71 | Cutaneous Oncogenesis
Skin Cancer,Malignant melanoma of skin,C43 | C43.72 | Melanoma | Cutaneous Melanoma | Cutaneous Oncogenesis | Skin Cancer,Skin Cancer | Melanoma | Nonmelanoma Skin Cancer | Basal Cell Carcinoma | Squamous Cell Carcinoma | Keratinocyte Carcinoma | Cutaneous Melanoma | BCC | SCC | Malignant Melanoma | Skin Melanoma | MM | Acral Melanoma | Malignant Neoplasm of Skin | Cutaneous Malignancy | Malignant Melanoma of Skin | Skin Malignancy | Superficial Melanoma | Primary Melanoma of Skin | Dermal Melanoma,C43 | C43.72 | Cutaneous Oncogenesis
Skin Cancer,Malignant melanoma of skin,C43 | C43.8 | Melanoma | Cutaneous Melanoma | Cutaneous Oncogenesis | Skin Cancer | Overlapping Melanoma,Skin Cancer | Melanoma | Nonmelanoma Skin Cancer | Basal Cell Carcinoma | Squamous Cell Carcinoma | Keratinocyte Carcinoma | Cutaneous Melanoma | BCC | SCC | Malignant Melanoma | Skin Melanoma | MM | Acral Melanoma | Malignant Neoplasm of Skin | Cutaneous Malignancy | Malignant Melanoma of Skin | Skin Malignancy | Superficial Melanoma | Primary Melanoma of Skin | Dermal Melanoma,C43 | C43.8 | Cutaneous Oncogenesis | Overlapping Melanoma
Skin Cancer,Malignant melanoma of skin,C43 | C43.9 | Melanoma | Cutaneous Melanoma | Cutaneous Oncogenesis | Skin Cancer,Skin Cancer | Melanoma | Nonmelanoma Skin Cancer | Basal Cell Carcinoma | Squamous Cell Carcinoma | Keratinocyte Carcinoma | Cutaneous Melanoma | BCC | SCC | Malignant Melanoma | Skin Melanoma | MM | Acral Melanoma | Malignant Neoplasm of Skin | Cutaneous Malignancy | Malignant Melanoma of Skin | Skin Malignancy | Superficial Melanoma | Primary Melanoma of Skin | Dermal Melanoma,C43 | C43.9 | Cutaneous Oncogenesis
